pair_id	corpus	organism	pair_index	mapping	member_experiment_ids	member_window_indices	member_config_files	member_window_sha256	output_bits	nist_samples	pairing_scheme
dna-arabidopsis-p00	arabidopsis	Arabidopsis thaliana TAIR10.1	0	acgt_2bit	dna-arabidopsis-w00;dna-arabidopsis-w01	0;1	configs/campaigns/dna/reference/dna-arabidopsis-w00.yaml;configs/campaigns/dna/reference/dna-arabidopsis-w01.yaml	7cb678a73e64e3674ba79c5d23ecad67f793fa68d89230b897e4ab372ba2540b;849cc16bfd8cac6baeeddd37e8f2858377d008c5bf9840d9410996f368b2295e	1600000	1600000	BIOENTROPY-HPC-DNA-NIST90B-PAIRING-v1
dna-arabidopsis-p01	arabidopsis	Arabidopsis thaliana TAIR10.1	1	acgt_2bit	dna-arabidopsis-w02;dna-arabidopsis-w03	2;3	configs/campaigns/dna/reference/dna-arabidopsis-w02.yaml;configs/campaigns/dna/reference/dna-arabidopsis-w03.yaml	c3b4f525d5c8fc4f266061f189792501522dbf2258c77710d06e41c03ddebbc4;7ce2649f58afbded21d7dc9e27ba08870551013812740df8bb14ccedf96aa0e8	1600000	1600000	BIOENTROPY-HPC-DNA-NIST90B-PAIRING-v1
dna-arabidopsis-p02	arabidopsis	Arabidopsis thaliana TAIR10.1	2	acgt_2bit	dna-arabidopsis-w04;dna-arabidopsis-w05	4;5	configs/campaigns/dna/reference/dna-arabidopsis-w04.yaml;configs/campaigns/dna/reference/dna-arabidopsis-w05.yaml	e16c90e45fbf01da26b536ad4454dcf0b613c2541c784a5f73c2c406d0269b51;f135ff83b51cf9f4f5552fde446a24e3ce4f0a3a504a367fb36d0b9de8dfe3b6	1600000	1600000	BIOENTROPY-HPC-DNA-NIST90B-PAIRING-v1
dna-arabidopsis-p03	arabidopsis	Arabidopsis thaliana TAIR10.1	3	acgt_2bit	dna-arabidopsis-w06;dna-arabidopsis-w07	6;7	configs/campaigns/dna/reference/dna-arabidopsis-w06.yaml;configs/campaigns/dna/reference/dna-arabidopsis-w07.yaml	facb4d9e0993bc9c527e32f1e55f35ea3ed80482dee8d1f6eb267d599e2172f7;efa9f5e4e475368550d45caca2b4b2de84d09abd1d2dfd387f1623eda2542b71	1600000	1600000	BIOENTROPY-HPC-DNA-NIST90B-PAIRING-v1
dna-arabidopsis-p04	arabidopsis	Arabidopsis thaliana TAIR10.1	4	acgt_2bit	dna-arabidopsis-w08;dna-arabidopsis-w09	8;9	configs/campaigns/dna/reference/dna-arabidopsis-w08.yaml;configs/campaigns/dna/reference/dna-arabidopsis-w09.yaml	9c3a5faf90abbbc10e0e6fdf0c662ff35d8b1e6e0274c3189fed743f1236648b;c2c04fe03c49a392dd74bd48f47b410c25e56e8d47f689941a45a43e4736761f	1600000	1600000	BIOENTROPY-HPC-DNA-NIST90B-PAIRING-v1
dna-bacillus_168-p00	bacillus_168	Bacillus subtilis 168	0	acgt_2bit	dna-bacillus_168-w00;dna-bacillus_168-w01	0;1	configs/campaigns/dna/reference/dna-bacillus_168-w00.yaml;configs/campaigns/dna/reference/dna-bacillus_168-w01.yaml	e97d6024a2a12dd73f74783b7cfd12e06ab5439d092659ee0c10bba5911f3da3;3a027136160eb80fe4fccec35657e0ff05b6183b9f2508a58da6e10c964e4525	1600000	1600000	BIOENTROPY-HPC-DNA-NIST90B-PAIRING-v1
dna-bacillus_168-p01	bacillus_168	Bacillus subtilis 168	1	acgt_2bit	dna-bacillus_168-w02;dna-bacillus_168-w03	2;3	configs/campaigns/dna/reference/dna-bacillus_168-w02.yaml;configs/campaigns/dna/reference/dna-bacillus_168-w03.yaml	9e9126eccf8ac933c9469851f0bf113e3cb5f81e9c7702e7aaeb663c658255c5;ecb816a69befad7094937ca54aa0e8e353d4be04ced9ecbd4f08f9dce4a18e76	1600000	1600000	BIOENTROPY-HPC-DNA-NIST90B-PAIRING-v1
dna-bacillus_168-p02	bacillus_168	Bacillus subtilis 168	2	acgt_2bit	dna-bacillus_168-w04;dna-bacillus_168-w05	4;5	configs/campaigns/dna/reference/dna-bacillus_168-w04.yaml;configs/campaigns/dna/reference/dna-bacillus_168-w05.yaml	d557035fe90e0de3980fd177d7333d6c430445a3c636b7110b0d35e0ac3d0feb;63d1b8f2c27d33fdcce501cdbbd76d10f5b542f24d960223d03ae0db35f2d9f8	1600000	1600000	BIOENTROPY-HPC-DNA-NIST90B-PAIRING-v1
dna-bacillus_168-p03	bacillus_168	Bacillus subtilis 168	3	acgt_2bit	dna-bacillus_168-w06;dna-bacillus_168-w07	6;7	configs/campaigns/dna/reference/dna-bacillus_168-w06.yaml;configs/campaigns/dna/reference/dna-bacillus_168-w07.yaml	c92233de23f2063b62e300fdef275a1011a4fb70fe07017af4f022cb277ff9cf;f555c4a357a50561ce8994a03ebcc8d39a7be1395b64d349ff5bfe5bfb79ffed	1600000	1600000	BIOENTROPY-HPC-DNA-NIST90B-PAIRING-v1
dna-bacillus_168-p04	bacillus_168	Bacillus subtilis 168	4	acgt_2bit	dna-bacillus_168-w08;dna-bacillus_168-w09	8;9	configs/campaigns/dna/reference/dna-bacillus_168-w08.yaml;configs/campaigns/dna/reference/dna-bacillus_168-w09.yaml	998bbebd3e12070b15225e50bc181573a154be695b5139d8a153a453c97618f1;946622122a7a0c07a4147a03493db67c3a143b1c943bb463e38dd44785691763	1600000	1600000	BIOENTROPY-HPC-DNA-NIST90B-PAIRING-v1
