source	old_conditioning_mode	new_conditioning_mode	config_changed	original_config_sha256	repaired_config_sha256	reason
logistic-float32	ascon_xof128	raw	1	dbc03c39f0079be05125379b876e0a3fe296859fe0b134fbd8351a064a06d8b9	6b7c6dc2b209dcbf2389d7d8a6c31b627cd8be3a15e4c9eed88f03ca6c406fa5	TestU01 adapter consumed RandomnessSource directly; conditioning pipeline was not executed
logistic-float64	ascon_xof128	raw	1	e7798fb11f59dc55f728eef92c1c8f25bdab40744fc2f88d35d2173a1b74505c	1afecd16f66c548199b93a59ed137a5cda868497db883131173adfa24d8e462e	TestU01 adapter consumed RandomnessSource directly; conditioning pipeline was not executed
logistic-fixed_q3_29	ascon_xof128	raw	1	4885bc4bcce10b8c94e5335e0f21793ee84d089652aa8a80c918bb6029802570	cd7983c29188a9fd8a1c19c92aac02a7851d1d0c1b51877f55d23d110441fdf0	TestU01 adapter consumed RandomnessSource directly; conditioning pipeline was not executed
logistic-mpfr_256	ascon_xof128	raw	1	61b3ddb934926e1f4c12cd30fb6dfe87f11268b8f81096aca282de2063a919a0	f8108f1d0209ea1133b9268c0a956eabed729a7ff572fe5e27d9d8fc4bf93b7a	TestU01 adapter consumed RandomnessSource directly; conditioning pipeline was not executed
chen-4d-dcs	ascon_xof128	raw	1	6cdfadca30ad6759d13cbbaf3a741fef664457c7ed2d329690e289469a379651	86e58c3f0c474222d724648f6c4f6368690f6e42b58e206be87ce5f3b6f9febe	TestU01 adapter consumed RandomnessSource directly; conditioning pipeline was not executed
rule30-cells256	raw	raw	0	46da24d3bcda1d268710d63474108b5a2d2ab640ac14309b6f8ca663efde8062	46da24d3bcda1d268710d63474108b5a2d2ab640ac14309b6f8ca663efde8062	TestU01 adapter consumed RandomnessSource directly; conditioning pipeline was not executed
rule30-cells1024	ascon_xof128	raw	1	977f2773a20efcf48a37f9f8286f055f2c815ae6f931b26c413c559a9d609b09	705175b26680f8b1cbef7118ecd53a82462f22655da943ebbaaa5cfaf8031ec3	TestU01 adapter consumed RandomnessSource directly; conditioning pipeline was not executed
rule90-cells256	raw	raw	0	1f84282f7c389b7c32b9bd421fd0280a07423fba33b956d5731272d31004ebce	1f84282f7c389b7c32b9bd421fd0280a07423fba33b956d5731272d31004ebce	TestU01 adapter consumed RandomnessSource directly; conditioning pipeline was not executed
rule90-cells1024	ascon_xof128	raw	1	94f4df8970f7cf78befadd5eb0badb0870a3e45fc3b45d01e6f37a2d2f074b3a	71d2daeb35d095c920707fcc73f3a93c79d22c405d60cd0be596dba236e3a931	TestU01 adapter consumed RandomnessSource directly; conditioning pipeline was not executed
chacha20	raw	raw	0	e83d00a81ac528275154fc2f7403158f9202a753025afed99cbf3f74444c51c6	e83d00a81ac528275154fc2f7403158f9202a753025afed99cbf3f74444c51c6	TestU01 adapter consumed RandomnessSource directly; conditioning pipeline was not executed
ctr-drbg-aes256	raw	raw	0	2e06467245ba671e9615073cd4343c14beb3d2887e1335573d90b396cd752449	2e06467245ba671e9615073cd4343c14beb3d2887e1335573d90b396cd752449	TestU01 adapter consumed RandomnessSource directly; conditioning pipeline was not executed
