source	replicate_id	battery	execution_returncode	testu01_status	all_tests_passed	pvalue_outside_notice	words_consumed	bytes_consumed	config_sha256	log	suspect_statistics
logistic-float32	0	SmallCrush	0	SUSPECT	0	1	227924937	911699748	dbc03c39f0079be05125379b876e0a3fe296859fe0b134fbd8351a064a06d8b9	results/raw/testu01/smallcrush_logistic-float32_rep000.log	15
logistic-float64	0	SmallCrush	0	SUSPECT	0	1	227069854	908279416	e7798fb11f59dc55f728eef92c1c8f25bdab40744fc2f88d35d2173a1b74505c	results/raw/testu01/smallcrush_logistic-float64_rep000.log	5
logistic-fixed_q3_29	0	SmallCrush	0	SUSPECT	0	1	245039251	980157004	4885bc4bcce10b8c94e5335e0f21793ee84d089652aa8a80c918bb6029802570	results/raw/testu01/smallcrush_logistic-fixed_q3_29_rep000.log	15
logistic-mpfr_256	0	SmallCrush	0	PASSED	1	0	226898159	907592636	61b3ddb934926e1f4c12cd30fb6dfe87f11268b8f81096aca282de2063a919a0	results/raw/testu01/smallcrush_logistic-mpfr_256_rep000.log	0
chen-4d-dcs	0	SmallCrush	0	SUSPECT	0	1	226249260	904997040	6cdfadca30ad6759d13cbbaf3a741fef664457c7ed2d329690e289469a379651	results/raw/testu01/smallcrush_chen-4d-dcs_rep000.log	4
rule30-cells256	0	SmallCrush	0	SUSPECT	0	1	226667038	906668152	46da24d3bcda1d268710d63474108b5a2d2ab640ac14309b6f8ca663efde8062	results/raw/testu01/smallcrush_rule30-cells256_rep000.log	5
rule30-cells1024	0	SmallCrush	0	SUSPECT	0	1	226511364	906045456	977f2773a20efcf48a37f9f8286f055f2c815ae6f931b26c413c559a9d609b09	results/raw/testu01/smallcrush_rule30-cells1024_rep000.log	5
rule90-cells256	0	SmallCrush	0	SUSPECT	0	1	181700000	726800000	1f84282f7c389b7c32b9bd421fd0280a07423fba33b956d5731272d31004ebce	results/raw/testu01/smallcrush_rule90-cells256_rep000.log	15
rule90-cells1024	0	SmallCrush	0	SUSPECT	0	1	181700000	726800000	94f4df8970f7cf78befadd5eb0badb0870a3e45fc3b45d01e6f37a2d2f074b3a	results/raw/testu01/smallcrush_rule90-cells1024_rep000.log	15
chacha20	0	SmallCrush	0	PASSED	1	0	226910855	907643420	e83d00a81ac528275154fc2f7403158f9202a753025afed99cbf3f74444c51c6	results/raw/testu01/smallcrush_chacha20_rep000.log	0
ctr-drbg-aes256	0	SmallCrush	0	PASSED	1	0	226981072	907924288	2e06467245ba671e9615073cd4343c14beb3d2887e1335573d90b396cd752449	results/raw/testu01/smallcrush_ctr-drbg-aes256_rep000.log	0
