label	source_type	replicate_id	master_seed	template	config	config_sha256
logistic-float32	logistic	0	0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef	configs/generated/dieharder-campaign-ascon-smoke/logistic-float32/rep000.yaml	configs/testu01/logistic-float32.yaml	6b7c6dc2b209dcbf2389d7d8a6c31b627cd8be3a15e4c9eed88f03ca6c406fa5
logistic-float64	logistic	0	0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef	configs/generated/dieharder-campaign-ascon-smoke/logistic-float64/rep000.yaml	configs/testu01/logistic-float64.yaml	1afecd16f66c548199b93a59ed137a5cda868497db883131173adfa24d8e462e
logistic-fixed_q3_29	logistic	0	0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef	configs/generated/dieharder-campaign-ascon-smoke/logistic-fixed_q3_29/rep000.yaml	configs/testu01/logistic-fixed_q3_29.yaml	cd7983c29188a9fd8a1c19c92aac02a7851d1d0c1b51877f55d23d110441fdf0
logistic-mpfr_256	logistic	0	0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef	configs/generated/dieharder-campaign-ascon-smoke/logistic-mpfr_256/rep000.yaml	configs/testu01/logistic-mpfr_256.yaml	f8108f1d0209ea1133b9268c0a956eabed729a7ff572fe5e27d9d8fc4bf93b7a
chen-4d-dcs	chen_4d_dcs	0	0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef	configs/generated/chen-4d-dcs-smoke/chen-4d-dcs-ascon.yaml	configs/testu01/chen-4d-dcs.yaml	86e58c3f0c474222d724648f6c4f6368690f6e42b58e206be87ce5f3b6f9febe
rule30-cells256	cellular_automaton	0	0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef	configs/campaigns/ca_rule30_smoke.yaml	configs/testu01/rule30-cells256.yaml	46da24d3bcda1d268710d63474108b5a2d2ab640ac14309b6f8ca663efde8062
rule30-cells1024	cellular_automaton	0	0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef	configs/generated/conditioning/ascon_xof128/ca-rule30-cells1024_rep0000.yaml	configs/testu01/rule30-cells1024.yaml	705175b26680f8b1cbef7118ecd53a82462f22655da943ebbaaa5cfaf8031ec3
rule90-cells256	cellular_automaton	0	0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef	configs/campaigns/ca_rule90_smoke.yaml	configs/testu01/rule90-cells256.yaml	1f84282f7c389b7c32b9bd421fd0280a07423fba33b956d5731272d31004ebce
rule90-cells1024	cellular_automaton	0	0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef	configs/generated/conditioning/ascon_xof128/ca-rule90-cells1024_rep0000.yaml	configs/testu01/rule90-cells1024.yaml	71d2daeb35d095c920707fcc73f3a93c79d22c405d60cd0be596dba236e3a931
chacha20	chacha20_reference	0	0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef	configs/campaigns/chacha20_reference_smoke.yaml	configs/testu01/chacha20.yaml	e83d00a81ac528275154fc2f7403158f9202a753025afed99cbf3f74444c51c6
ctr-drbg-aes256	ctr_drbg_aes256_reference	0	0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef	configs/campaigns/ctr_drbg_aes256_reference_smoke.yaml	configs/testu01/ctr-drbg-aes256.yaml	2e06467245ba671e9615073cd4343c14beb3d2887e1335573d90b396cd752449
