experiment_id	organism	assembly_accession	sequence_accession	window_index	window_start_nt	window_length_nt	output_bits	mapping	window_sha256	raw_fasta_sha256	selection_score	selection_scheme	sequence_file	config_file
dna-ecoli_k12-w00	Escherichia coli K-12 MG1655	GCF_000005845.2	NC_000913.3	0	2400000	400000	800000	acgt_2bit	b86ca68b4b3055c20d8055bee5f474b630fe1091bd947c68d94f5145ec79931a	53bb6a51b6e92139ced1e38f74b7938781027c52200922ff03718c2237d23bb4	40cde3b941d640a574d7e11733d6933967fd1dfe7c3ca0a818ca0b4f66420302	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000005845.2/window_00.dna	configs/campaigns/dna/reference/dna-ecoli_k12-w00.yaml
dna-ecoli_k12-w01	Escherichia coli K-12 MG1655	GCF_000005845.2	NC_000913.3	1	4000000	400000	800000	acgt_2bit	7cfaed918b1d14146962aabc7cb9ff7e642fece74591b6cfebc17f0c4b3a61a3	53bb6a51b6e92139ced1e38f74b7938781027c52200922ff03718c2237d23bb4	5f68d00724eca53da30878d37120dd8f7aefb89b662b945d720e25e57864ebb7	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000005845.2/window_01.dna	configs/campaigns/dna/reference/dna-ecoli_k12-w01.yaml
dna-ecoli_k12-w02	Escherichia coli K-12 MG1655	GCF_000005845.2	NC_000913.3	2	800000	400000	800000	acgt_2bit	ff215cd15c428d32f2957a1ff2958eac519ff98f4648a10b5f5308f74e8809ea	53bb6a51b6e92139ced1e38f74b7938781027c52200922ff03718c2237d23bb4	622e149233d5402f978d792f210a62b0939c2b4e3fc812ea6a2a31687f33d313	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000005845.2/window_02.dna	configs/campaigns/dna/reference/dna-ecoli_k12-w02.yaml
dna-ecoli_k12-w03	Escherichia coli K-12 MG1655	GCF_000005845.2	NC_000913.3	3	2800000	400000	800000	acgt_2bit	1dd83145df0dd7135b9e09ffa3e0dcc7788fb9a62d78e95781e5278bca711e28	53bb6a51b6e92139ced1e38f74b7938781027c52200922ff03718c2237d23bb4	6aaad91ed9d509cfc2955e97bcf1c151977ae9c91cade66b63ea7457a8371fcb	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000005845.2/window_03.dna	configs/campaigns/dna/reference/dna-ecoli_k12-w03.yaml
dna-ecoli_k12-w04	Escherichia coli K-12 MG1655	GCF_000005845.2	NC_000913.3	4	1200000	400000	800000	acgt_2bit	a282eff96e8e515722c069d257e317ca232ddeda448d88adf5fb334eec1216a3	53bb6a51b6e92139ced1e38f74b7938781027c52200922ff03718c2237d23bb4	8719f8b2b426035c043953c998e4c5b0710c2bdd3c8f0e37b52b8d46b36fa90c	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000005845.2/window_04.dna	configs/campaigns/dna/reference/dna-ecoli_k12-w04.yaml
dna-ecoli_k12-w05	Escherichia coli K-12 MG1655	GCF_000005845.2	NC_000913.3	5	1600000	400000	800000	acgt_2bit	aabb2cd3ba6f5b606bc494c63cf3d773f0aa09ffe633d7825bce3359d75842a5	53bb6a51b6e92139ced1e38f74b7938781027c52200922ff03718c2237d23bb4	8faad94409ad37f9d79c37665f3fc5064452ffe243004f606c05bfd01552a346	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000005845.2/window_05.dna	configs/campaigns/dna/reference/dna-ecoli_k12-w05.yaml
dna-ecoli_k12-w06	Escherichia coli K-12 MG1655	GCF_000005845.2	NC_000913.3	6	2000000	400000	800000	acgt_2bit	a94244188d3c0974bf65321458c90b16eba630454b59771c8750e0867bee8add	53bb6a51b6e92139ced1e38f74b7938781027c52200922ff03718c2237d23bb4	9b267a653045cca8dd2fb9ab4247522615cb599820f7b90999524d145308cfc9	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000005845.2/window_06.dna	configs/campaigns/dna/reference/dna-ecoli_k12-w06.yaml
dna-ecoli_k12-w07	Escherichia coli K-12 MG1655	GCF_000005845.2	NC_000913.3	7	3600000	400000	800000	acgt_2bit	075c69b523d3bb085a862f60964ae1fc5dc8edb57da2ab1c9175c804c90c28f0	53bb6a51b6e92139ced1e38f74b7938781027c52200922ff03718c2237d23bb4	be464355536eb165a9fe060b30953d9d02d54618d9e0ff1d415fcb838292879f	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000005845.2/window_07.dna	configs/campaigns/dna/reference/dna-ecoli_k12-w07.yaml
dna-ecoli_k12-w08	Escherichia coli K-12 MG1655	GCF_000005845.2	NC_000913.3	8	3200000	400000	800000	acgt_2bit	f8c1875d0266e529a9cfc81bc63a0726a56d0677c7f3dd2d5a9d3e862ef3d706	53bb6a51b6e92139ced1e38f74b7938781027c52200922ff03718c2237d23bb4	c622c68e8c03d24955388c96a180ed082d34628dc360465a3d48e63b9fe7a079	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000005845.2/window_08.dna	configs/campaigns/dna/reference/dna-ecoli_k12-w08.yaml
dna-ecoli_k12-w09	Escherichia coli K-12 MG1655	GCF_000005845.2	NC_000913.3	9	0	400000	800000	acgt_2bit	0d60f88f575248d8c4b66749f0882aea5439b1c0639a4927b18dbec107167f44	53bb6a51b6e92139ced1e38f74b7938781027c52200922ff03718c2237d23bb4	e2f04830d78aeabd196f93a96364365f110f3b572eedcd8c5a4f650a7b0c53b9	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000005845.2/window_09.dna	configs/campaigns/dna/reference/dna-ecoli_k12-w09.yaml
